In Afghanistan gilt kein generelles Tempolimit auf Autobahnen.	62
Das ist doch viel witziger.	27
ich werde nicht wieder lachen	29
Es ist vergessen.	17
Findest du nicht auch?	22
Mein Nachname ist Sonderegger.	30
Bald hat er sein Abi.	21
Wie schätzen Sie mich ein?	26
Ich sollte Grabräuber werden.	29
Es kommen sowieso jedes Jahr die gleichen Fragen.	49
Kannst du das lesen?	20
Die Nutzung dieses Angebotes ist für Sie kostenlos.	51
Okay, darum kümmere ich mich dann am Montag.	44
Welche Farbe wählst du aus?	27
Nicht vergessen: Morgen ist Muttertag!	38
Es ist genau vierzehn Minuten vor neun!	39
Beim ersten Einsatz bekommt sie beide Bälle.	44
Finnland wirft nun alles nach vorne.	36
Sparer werden durch Inflation enteignet.	40
Sie las die Regeln in einem Zug vor, ohne Luft zu holen.	56
Auf der einen Seite herrscht Leerstand und auf der anderen übernachten Leute in Wohnwagen.	90
Im kompletten Wohnzimmer war der Fußboden mit Teppich ausgelegt.	64
Wie ist die Parkplatzsituation bei euch?	40
Steht im Verlies auch eine Streckbank?	38
Schwach zuckend liegt der Käfer am Boden.	41
Erzähle mir einen zufälligen Fakt	33
Letzte Nacht musste die freiwillige Feuerwehr fünfmal ausrücken.	64
Den zu überreden ist keine große Kunst!	39
wiederaufnehmen	15
Korrekt, bestätigt er.	22
Den Namen habe ich schon einmal gehört.	39
Die Welt soll mich in Erinnerung behalten.	42
Wissen Sie eigentlich, wofür das Geld eingesetzt wird?	54
Mikrowelle wurde aktiviert.	27
Glück kann man lernen.	22
An deiner Sitzhaltung solltest du noch arbeiten.	48
Dazu gibt es auch eine entsprechende Internetseite beim Bundesministerium für Arbeit und Soziales; ich empfehle jedem, da mal reinzugucken und zu sehen, was da im Gange ist.	173
Naturgemäß dauert der zweite Bildungsweg etwas länger.	54
Das Gesetz erlaubt nicht beliebig viel Bleichmittel.	52
Undine hüllt sich in Schweigen.	31
"Aber der Roman ""Biskaya"" geht immer ein paar Schritte weiter, ist abgerundeter."	79
Weil die Firma einfach nicht über das nötige Know-how verfügt.	62
Das Jugendwort des Jahres ist eine Vergewaltigung unserer Sprache.	66
Es braucht einen Mutigen, der es ausspricht.	44
Dann hat Katharina sich aber gehörig über den Tisch ziehen lassen.	66
Es ist das fünfzehnte Mal, dass zur Vogelzählung aufgerufen wird.	65
Tja, Thaddäus!	14
Behäbig setzt sich das Gefährt in Gang.	39
Das Drehleiterfahrzeug ist geerdet.	35
Ja, guten Tag!	14
okay	4
Der Pfand ist schon im Preis inbegriffen.	41
Elmar findet die Schnalle nicht.	32
Ich brauche nur fünf Minuten.	29
Normalerweise näht die Maschine mit zwei Fäden.	47
Zuletzt habe ich eine Liebesgeschichte zwischen einer nichtbinären Person und einem Trans-Mann gelesen.	103
Das Kind hat neununddreißig Komma acht Grad Fieber.	51
Und zwar nicht zu knapp!	24
Der Behälter ist hermetisch abgeschlossen.	42
Wie weit kann man in einen Wald hineingehen?	44
Wir holen unsere Brötchen immer bei der Bäckerei Gehring.	57
Es gibt für jeden das passende gemeinnützige Projekt.	53
Der sah haargenau so aus wie du!	32
Diese künstlichen Verzögerungen sind eine Provokation.	54
Irgendwas brauchen wir noch als Dip.	36
Sie macht ihrem Namen alle Ehre.	32
Bei der nächsten bemannten Mondlandung will ich einen Astronauten jonglieren sehen.	83
"Das ""smart"" in SmartCard deutet nur darauf hin, dass der Chip rechnen kann."	75
Kein Rand hält die Krümel auf.	30
Bei Kälte fällt die Heizung und bei Hitze die Klimaanlage aus.	62
Okay, die Sonne ist draußen, ich stelle die Helligkeit ein	58
Was halten Sie von einem Handyverbot für Schüler?	49
Die Bevölkerungspyramide ist schon lange keine Pyramide mehr.	61
Hobbyraum führt bereits die Aktion Fernseher aus.	49
Tja, so bin ich eben.	21
Dazu muss man sich eines einfachen Tricks bedienen.	51
Ja, ich habe auch nie verstanden wieso Formel eins als Sport bezeichnet wird.	77
Wir setzen uns deshalb für eine Zwei-Staaten-Lösung ein und hoffen auch, dass hier Fortschritte im Friedensprozess gemacht werden.	130
Setze zurück	12
Es ist nicht das, wonach es aussieht.	37
Diese Sehenswürdigkeit lockt viele Touristen an.	48
Sie eröffnet uns den Blick in eine einzigartige Fantasiewelt.	61
Runter vom Gas!	15
Nennt man es vielleicht doch eher Warnfarben.	45
Das Stühlerücken im Aufsichtsrat geht weiter.	45
Wie lange habe ich geschlafen?	30
Die, die auch im Chor singt.	28
Wenn man einmal an die Heizungsausstattung denkt, wenn man an Energie-Sanierung im Sinne von Gebäudesanierung denkt, dann hat das Handwerk hier eine herausragende Rolle.	169
Hoffentlich hilft dir die Tour, den Kopf frei zu bekommen.	58
"Als Rechtfertigung behauptete er, dazu von einer unsichtbaren ""weißen Bruderschaft"" befugt worden zu sein."	106
weck mich auf	13
Entschuldigung, ich kann die Element-Liste nicht bekommen.	58
Der ist ja mickrig!	19
Geh behutsam mit ihm um!	24
Ich zähle schon lange nicht mehr mit.	37
Durch die Wand hört man nur noch Bässe.	39
Das ist eine gute Farbe. Schau mich nun an.	43
Ihr Pass entspricht nicht unseren Sicherheitsanforderungen.	59
Doch die tiefen Temperaturen stören die Schlittenhunde beileibe nicht.	70
Blutgruppe Null ist am wertvollsten, weil jeder sie verträgt.	61
Notfalls zimmert Iwan sich schnell etwas zusammen.	50
Darauf sind unsere Bemühungen gerichtet, auch wenn wir jetzt ganz speziell in Erbil zum Beispiel, bei der kurdischen Regionalregierung, bei der Ausbildung helfen.	162
Mit herkömmlichen Mitteln ist da kein Durchkommen.	50
Die Räuber konnten unerkannt vom Tatort entkommen.	50
Mittleres Schieferblau,	23
Die Generalzolldirektion wird von einer Frau geleitet.	54
Das Babyphon hat sogar einen Monitor.	37
Man darf nur nicht den Fehler machen und zwischendurch aufhören.	64
Fachkompetenz ist kein entscheidendes Kriterium bei der Vergabe der Ministerien.	80
Ich versuche, lexikalische Wiederholungen zu vermeiden.	55
gib an	6
Mit einer Dampfwalze wird der Untergrund geplättet.	51
Mal ehrlich, findest du mich zu dick?	37
Aber Ludwig Erhard war von seiner Idee überzeugt: Wohlstand entsteht dann, wenn im Wettbewerb die einzelnen Akteure des Marktes auch Freiheiten haben.	150
Kippeln trainiert den Gleichgewichtssinn.	41
Selbstverständlich ist der Einsatz von Werbeblockern rechtens.	62
Jein ist keine Option.	22
Angeekelt wich sie zurück.	26
Die Band hat fünf Mitglieder.	29
Auch wenn’s den Kläger nicht ergötzt, geschrieben steht dies im Gesetz.	71
reduzieren	10
Bitte räume den Tisch ab, danke.	32
Aber wenn sie zu gierig wird, kommt sie mit in den Kochtopf.	60
Was kostet ein Tagesticket für den Gesamtbereich?	49
So können Sie spielerisch unsere heimischen Vögel kennenlernen.	63
Ich wollte eigentlich beides in einem Abwasch erledigen.	56
Welche Add-ons nutzt du für Firefox?	36
Die Erfindung der Schutzimpfung ist der vielleicht bedeutendste Fortschritt der medizinischen Geschichte.	105
Der Chefkoch wird schnell cholerisch, wenn man seine Speisen kritisiert.	72
Diese gibt man bei der Abreise an der Rezeption ab.	51
Entschuldige Ariane, dass ich deinem Ehemann etwas Zeit abverlange.	67
Sie kann ihm keine zehn Minuten böse sein.	42
Sie stellen für uns die Legitimation oder eine der möglichen Legitimationen dar, und da spielen die Vereinten Nationen eine große Rolle.	136
Meinst du nicht, sie könnte dir etwas vorspielen?	49
Geht das nicht schneller?	25
Deine Leuchtmittel waren leider keine große Hilfe.	50
Überweist man Behörden versehentlich mehr als gefordert, müssen diese alles für eine Rückführung tun.	101
Versuchen wir es doch mal mit Zuckerbrot und Peitsche!	54
Wer hätte gedacht, dass man als Leiter eines Feuerwehrchors mal weltberühmt wird?	81
Ein Halbstarker!	16
Google erzielt Einnahmen über Google Play.	42
Gut, dass wir einen Fachmann da haben.	38
Kommst du mit auf den Kiez?	27
Es war nicht die spartanische Lebensweise, mit der der Jesuit nicht klar kam.	77
Unten im Berg schuften die Bergleute.	37
Wir stehen in engem Austausch mit den Netzbetreibern.	53
Totes Gewebe bindet man ab, damit es den Rest des Körpers nicht vergiftet.	74
Als Folge reichern sie sich in natürlichen Gewässern an.	56
Was ändert das, wenn du nie zu Hause bist?	42
Armut ist kein Verbrechen.	26
Wenn man schon ein Tier schlachtet, sollte man es auch möglichst vollständig verwerten.	87
Von neuerem Krempel ganz abgesehen.	35
Dafür kann es zwei Gründe geben: Der eine Grund ist, dass natürlich die Produzenten möglichst viel verdienen wollen, aber auch ihren Kaffee auf den Weltmärkten absetzen wollen.	176
Das Schlafzimmer muss ohnehin nicht so stark beheizt werden.	60
Er ersteigert gebrauchte Festplatten und erpresst die Verkäufer mit den vermeintlich gelöschten Daten.	102
Ist die Garnitur etwa aus Elfenbein geschnitzt?	47
Leider haben wir gepennt und deshalb müssen Sie in Hannover umsteigen.	70
Dies ist ein Test.	18
Ihr könntet wenigstens ein kleines bisschen Interesse heucheln.	63
Was will Anne eigentlich genau?	31
Besucher klassischer Konzerte halten sich häufig für besonders gebildet.	72
Mit dem Angriff wird alles in Ordnung kommen.	45
Dabei ist es vollkommen egal, ob sie vorher gerade etwas gegessen hat oder nicht.	81
Kinderfahrräder sollten in Signalfarben angestrichen werden.	60
Geschlecht	10
Der Angeklagte möchte sich zu der Sache nicht äußern.	53
Eine Broschüre ist langweiliger und inhaltsloser als die andere.	64
Gib mir Anweisungen für ein Früchte Bowle	41
Frau Kühn relaxt in der Hängematte.	35
Bevorzugt sitzt Herr Lürcher nicht im Großraumwagen, sondern im Abteil.	71
Ich kann mein Haus nicht wiederfinden.	38
Natürlich nicht.	16
Omas Konfitüre ist fast identisch mit hausgemachter Marmelade verschiedenster Sorten Obst.	90
Die gerade erst neu hinzugekommene legt ein beträchtliches Tempo vor.	69
Mein Gott ist der größte!	25
Tschüss, bis zum nächsten Mal!	30
Aktivierungswort	16
Ein Ruder münzt die Kraft des Wassers in eine Seitwärtsbewegung um.	67
zu welcher Uhrzeit?	19
Möchtest du Taufpate unseres Sohnes werden?	43
Jeder, der Zeitung liest, weiß das.	35
Der Kunde sagt, woanders gäbe es das billiger.	46
Das Teilen eines Benutzerkontos ist strengstens untersagt.	58
Wie viel Zeit ist übrig	23
Erasmus ist ein Symbol dafür, wie Studenten, aber in Zukunft auch Auszubildende sich besser austauschen können, damit neue Freunde kennenlernen.	144
In der Lebensmittelverarbeitung werden bestimmte Komplexbildner als Lebensmittelzusatzstoff zugesetzt oder sind bereits natürliche Bestandteile.	144
Aber ebenso steht völlig außer Frage, dass Europa ein angebliches Recht eines Stärkeren, der das Völkerrecht missachtet, nicht akzeptieren kann und nicht akzeptieren wird.	171
Den Besatzungskräften war es verboten, der hungernden Bevölkerung etwas abzugeben.	82
Die Drohne filmte ihn dabei, wie er das Bauwerk erklomm.	56
Das ist doch keine Herausforderung!	35
Mehr Trainingsdaten sind grundsätzlich immer zu begrüßen.	57
Zählt man als Datenbänker auch zu den Bänkern?	46
Fotografieren ist nur ohne Blitz erlaubt.	41
Und jetzt habe ich zwei Regierungschefs, aus Norwegen den Ministerpräsidenten Jens Stoltenberg und aus Großbritannien, den Premierminister David Cameron, eingeladen.	165
Dies ist auch besonders wichtig, weil wir damit verhindern, dass die Zinslasten immer schneller steigen, und weil wir damit Gestaltungsspielräume für die Zukunft bekommen.	171
Dann bitte noch sechs von der anderen Sorte.	44
Fabi und Niko blieben bis in die frühen Morgenstunden wach.	59
Denn oft ist uns nicht geholfen, wenn Verlagerungen in Länder stattfinden, in denen die Umweltstandards viel, viel geringer sind und dann für die Umwelt auch nichts erreicht wurde.	180
Setze die Wohnung Temperatur auf zwanzig	40
Dann ist sie mausetot.	22
Für Opi reicht diese Menge allemal.	35
Besser spät als nie.	20
Nach der Fahrt mit der Seilbahn hatten wir alle Druck auf den Ohren.	68
Die Messerschneide glänzte silbrig.	35
Schon wieder Ecke für Weiß.	27
Je höher der Stoffwechsel, umso höher die Lebensfreude.	55
Was würde sich in deinem Leben ändern?	38
Er verknüpft die Konflikte des menschlichen Lebens mit traditionellen und innovativen Stilelementen.	100
Das kratzt sicherlich an seinem Ego.	36
Die meisten Legehennen werden nicht einmal zwei Jahre alt.	58
Monitor	7
die Nummer Sieben	17
Ich habe, neunundfünfzig, als meine Zahl gewählt	48
Also nach außen.	16
Was war es nur?	15
Ein Burgunder aus dem Jahr zweitausend, habe ich recht?	55
Das können wir nicht auf uns sitzen lassen!	43
Ich glaube, das war ein riesen Erfolg, der gezeigt hat, dass diese junge Mannschaft relativ unbeschwert, aber doch entschlossen gespielt hat und ihre Chance genutzt hat.	169
Einige meiner Schützlinge leiden sehr unter Heimweh.	52
Der Komiker lässt extra Pausen in seinen Liedern, damit das Publikum lachen kann.	81
Frühestens nach sechs Monaten kann man von einer ernsthaften Beziehung sprechen.	80
Eigentlich wäre es auch für mich Zeit, sich schlafen zu legen, dachte sie.	74
Nach der Ebbe kommt die Flut.	29
Kein Timer wurde gesetzt	24
Etwas sehr Wichtiges musste passiert sein.	42
Frau Huber gibt dem Pferd die Sporen.	37
Danach waren aber die Bildunterschriften vertauscht.	52
Stellenweise sind die Gedankengänge der Autorin schwer nachvollziehbar.	71
Bäume in Äquatornähe haben den größten Effekt auf die Atmosphäre.	65
Schließen Sie die Augen und tippen Sie sich mit dem Zeigefinder an die Nasenspitze!	83
Die Atonalität gestreift hatten schon Franz Liszt in seinen späten Klavierstücken und Alexander Skrjabin.	105
Leider neigt Heiner oft dazu, den Moralapostel zu spielen.	58
Nein, es sind diejenigen, an die man sich fünf Jahre später noch erinnert.	74
Es ist in unserem Interesse, für unsere Arbeitsplätze wichtig, dass wir dieses Abkommen auch abschließen.	105
Lieber den Spatz in der Hand als die Taube auf dem Dach.	56
Kennen Sie schon unsere Online-Filiale?	39
Schokolade kann Leben retten!	29
Das schwächste Glied bestimmt die Stärke der gesamten Kette.	60
Deshalb warten alle auf Hausmeister Schröter, der den Schlüssel hat.	68
Ist es normal, wenn die Gelenke so knacken?	43
Die Anzeigetafel ist noch ein altes Modell mit umklappbaren Blättern.	69
Lateinisch Pegasus, hellenisch Pegasos.	39
zurücksetzen	12
Das heißt, es werden mehr Anglizismen verwendet, die Geschwindigkeit der Übernahme hat aber abgenommen.	103
Ich habe diese Einladung sehr gerne angenommen, geht es mir doch – im Rahmen der Sozialen Marktwirtschaft – sehr darum, das konstruktive Gespräch mit den Gewerkschaften zu pflegen.	180
Niemand wagt es, aufzubegehren.	31
Wir wollen keine neuen Sitten einführen.	40
Damit Sie nicht im Trüben fischen, haben wir Ihnen eine Übersicht erstellt.	75
Das gilt übrigens auch für jedes andere Schloss.	48
Der Himmel hatte sich zugezogen.	32
Sein Anwalt teilte mit, man werde den Vorschlag genauestens prüfen.	67
Was sind Ihre Schwerpunktthemen?	32
Bitte nicht auf dem Sofa herumhüpfen.	37
Heute ist der vierte November.	30
Hautärzte bemängeln, dass Sonnenmilch häufig zu sparsam aufgetragen wird.	73
Oh oh, der ist dreimal stärker als ich!	39
Lass die Vergangenheit hinter dir.	34
Bettina befindet sich schon wieder auf dem Weg der Besserung.	61
Auf diese E-Mail bitte nicht antworten.	39
Höchstens ein Supercomputer wäre dazu in der Lage.	50
Lass uns das mal ausschalten, bevor morgen schon die Batterie leer ist.	71
Da kräht kein Hahn nach.	24
Wahrscheinlich steckt die Mafia dahinter.	41
Bei einer Transplantation kann einiges schiefgehen.	51
Ein Besoffener hat in der Hafenbar über den Tresen gereihert.	61
So versucht jeder, sich nebenbei noch etwas dazuzuverdienen.	60
Der Gastgeber hat dafür zu sorgen, dass Essen auf den Tisch kommt.	66
Und zur Rechenschaft wird auch keiner gezogen.	46
Deine Seele ist längst verloren.	32
Lieber das Steak halb durch oder ganz?	38
Schnittstelle	13
für welche Tage?	16
Nur wer Neuland zu betreten wagt, kann die Rolle des Vorreiters einnehmen.	74
Dem Klischee zufolge achten Männer aufs Aussehen und Frauen auf den Geldbeutel.	79
Spotify konnte Wiedergebe nicht starten.	40
Gibt es das bei Netflix oder muss ich jetzt doch wieder BitTorrent benutzen?	76
Auch im Bereich der Erwachsenenbildung ist noch Luft nach oben.	63
indigo,	7
Danach in etwa gleich große Stücke teilen und auf dem Teller anrichten.	71
Niemals vor dem eigenen Tor einen Querpass spielen!	51
Um die Reinigung zu erleichtern, ist das Esszimmer komplett gefliest.	69
Samstag ist bei uns ein guter Tag zum Dumpstern.	48
Jeder hat das Recht auf gleichen Zugang zu öffentlichen Ämtern in seinem Lande.	79
Er hat sich dennoch köstlich amüsiert.	38
Wieso akzeptierst du deinen Körper nicht einfach, wie er ist?	61
Dafür sind die Trennscheiben da.	32
Der Haarausfall ist wohl hormonell bedingt.	43
Wie du ja weißt, hat er bereits sein Veto ausgesprochen.	56
Ja, ich finde, ich habe ein gutes Bauchgefühl.	46
Ich gebe zu, die Aussichten könnten besser sein.	48
Manchmal braucht man auch neue Gesetze, weil neue Regelungssachverhalte auftreten; mit neuen Technologien kann es ja sein, dass man neue Sicherheiten braucht.	158
Wie es scheint, sind die Protokolle unvollständig.	50
Sport und Bewegung seien viel entscheidender.	45
Was rieche ich denn da für einen Stoff?	39
Doris ist immer auf Achse.	26
Zum zweiten hat die Bundesregierung im Rahmen ihrer Higthech-Strategie einen Schwerpunkt in der Informations- und Kommunikationstechnologie gesetzt.	148
Darf ich mal deinen Computer benutzen?	38
Es ist ja üblich, dass man zu Weihnachten ein Stück ausspannen kann, ausschlafen kann – darauf freue ich mich, und ich hoffe, Sie sich auch.	140
Spinnst du?	11
Hoffentlich gibt es morgen einen neuen.	39
